Registry,Assignment,Organization Name,Organization Address
OpID,00009A,"SpeedConnect, LLC",3049 Bay Plaza Drive Saginaw MI US 48604 
OpID,00009D,"Macheen, Inc.","9500 Arboretum Blvd., Suite 110 Austin Texas US 78759 "
OpID,000030,Comcast Cable,One Comcast Center Philadelphia PA US 19103-2838 
OpID,000037,Imagine Group Limited   ,Unite 6 Sandyford Business Park Dublin  IE 12 
OpID,000031,Comcast Cable,One Comcast Center Philadelphia PA US 19103-2838 
OpID,00002E,I-Pac Communications Limited,Private Main Bag Suva  FJ  
OpID,00002F,Sprint ,6220 Sprint Parkway Overland Park KS US 66251-6118 
OpID,00002D,e-Via S.p.A.,via Vida 19 Milano MI IT 20142 
OpID,000027,Intel Corporation,2111 NE 25th Avenue. JF2-15 Hillsboro OR US 97124 
OpID,000024,"CTY Co., Ltd.","8-2, Honmachi, Yokkaichi, Mie   JP 510-0093 "
OpID,000025,DigitalBridge Communications,"44675 Cape Court, Suite 130 Ashburn VA US 20147 "
OpID,000026,Intel Corporation,2111 NE 25th Avenue. JF2-15 Hillsboro OR US 97124 
OpID,000023,Asiaspace WiMAX Sdn. Bhd.," Patimas Technology Center, Technology Park Kuala Lumpur  MY  "
OpID,00001B,Globe Telecom,11 F BPI Buendia Center Sen. Gil Puyat Makati City  PH 1200 
OpID,00001C,â€œMMDS-Ukraineâ€ LLC ,"L. Ukrainki Blvd., B.26, 7th floor Kyiv  UA 01133 "
OpID,00001D,DBD Deutsche Breitband Dienste GmbH,Vangerowstraße 18 Heidelberg  DE D-69115 
OpID,000019,Etihad Atheeb Telecommunications,P O Box 250398 Riyadh  SA 11391 
OpID,00001A,VTR Banda Ancha (Chile) S.A.,"Reyes Lavalle 3340, Piso 4 Santiago  CL  "
OpID,000001,"NextWave Broadband, Inc.",4040 Montview Blvd Denver CO US 80207 
OpID,000005,HDRR,10 Rue d'Oradour sur Glane Paris Cedex 15  FR 75732 
OpID,00005F,CaribeServe.net,"Brooks Tower, Suite 5 Philipsburg St. Maarten AN  "
OpID,000058,"Obihiro City Cable, Inc.","Kachimai Building, 4F 2, Minami-8 Obihiro Hokkaido JP  "
OpID,000070,mada commnications,P O Box 25555 Safat  KW 13116 
OpID,000055,Rincon Research Corporation,101 N. Wilmot Road Tucson AZ US 85711 
OpID,000056,First International Telecom Corporation (FITEL),"5F., No.301, Sec. 2, Tiding Blvd. Neihu Dist Taipei TW 11493 "
OpID,00004F,Aksoran LLC,43 Markov str.  Almaty KZ 050040 
OpID,00004D,Wimax Forum,"15220 NW Greenbrier, Suite 340 Beaverton OR US 97006 "
OpID,00004E,Scarlet B.V.,Fokkerweg 26 Curacao  AN  
OpID,00004B,Etihad Etisalat Company,"King Fahd Road, Mobily, 4th Floor Riyadh  SA 11423 "
OpID,00004C,Wimax Forum,"15220 NW Greenbrier, Suite 340 Beaverton OR US 97006 "
OpID,000082,Sprint Nextel,12502 Sunrise Valley Drive Reston VA US 20196 
OpID,00008A,Umniah Mobile Company,P O Box 942481 Amman  JO 11194 
OpID,00007E,"CosmoAir, LTD",2-13-4 Unoki Ota-ku Tokyo JP 146-0091 
OpID,00007C,"CommSpeed, LLC",P O Box 3350 Carefress AZ US 85377 
OpID,000059,Digicel Jamaica,40 Knutsford Boulevard New Kingston Kingston JM K5 
OpID,000060,Fujikura Ltd.,1-5-1 Kiba Koto-ku Tokyo  JP 135-8512 
OpID,00006C,Valley Technologies (Pvt) Ltd,"29 Mazowe Street, Avenues Harare  ZW  "
OpID,000073,"Alpha Communication Networks, SA (ACN)","#151 Impasse Duverger, Turgeau Port-au-Prince  HT  "
OpID,000061,Bolloré Telecom,11 Bis Rue Scribe Paris  FR 75009 
OpID,000062,NuevaTel PCS De Bolivia,Av. Cristo Redentor y 6 Anillo  Santa Cruz  BO  
OpID,000057,Sky Network Private Limited,"No. 5, Anderson Road Colombo  LK 05 "
